小区名,价格,售卖数
笋岗大厦,39097,13
裕田大楼,暂无,0
嘉宝田花园,61555,31
粤华楼,暂无,0
深中街,暂无,1
书院街5号大院,67531,0
书院街7号大院,56437,0
新园路39号大院,暂无,1
东门永新街59号,36239,0
蛟湖路,51888,0
招商果岭花园,57059,34
国旅宿舍,暂无,1
罗湖金岸大厦,40933,20
中洲华府,84498,11
上合花园一期,57607,0
中海月朗苑,49099,28
海富花园,41504,14
海丽大厦,47447,7
盛世江南,暂无,0
碧涛居,58602,5
人民北路115号大院,暂无,0
通发花园,45754,0
鸿锦阁,39365,6
龙景花园,45027,5
玉雅居,47968,20
龙景花园,45027,5
景福花园,53703,0
人民北路115号大院,暂无,0
通发花园,45754,0
玉雅居,47968,20
宏轩大厦,77737,5
锦州花园,49764,2
天明居,79533,5
万科城市花园,88968,1
安通花园,59585,1
武警大厦景华苑,暂无,0
深南大道1014号,79287,1
福安综合市场,76532,0
彩田村,78207,8
民宁园,69136,0
润鹏花园,54323,2
华茂欣园,63767,3
福瑞阁,65710,3
鸿新花园,暂无,0
竹林花园,60979,0
国华大厦,暂无,0
香蜜二村,94887,2
美丽365花园,43047,28
仓前锦福苑,55131,21
金海华府,59252,16
金丰豪庭,暂无,0
浪漫港湾,暂无,0
TT国际公寓,79194,5
发展兴苑,77949,7
东怡大厦,50500,6
现代苑,67763,0
福瑞阁,65710,3
鸿新花园,暂无,0
竹林花园,60979,0
国华大厦,暂无,0
民宁园,69136,0
润鹏花园,54323,2
华茂欣园,63767,3
景田西小区,66476,4
鸿洲新都,60348,11
雍翠豪园,51185,19
景茗苑,89106,0
鹏盛村,44386,44
深大电话公寓,暂无,0
旭飞花园,50495,50
心语家园,61119,11
鼎太风华四期,83753,4
心语雅园,62300,16
鼎太风华五期,87938,0
海月花园三期,86135,1
好来居,69444,6
南海城中心,57253,9
华侨新村,61658,0
康乐村小区,52894,0
长泰花园,86950,9
国城花园,113155,0
豪峰园,86002,4
嘉园,84616,2
浪琴屿花园,92141,4
南华村,70309,3
向南西海花园,65794,7
学林雅院,76140,4
园丁楼,暂无,0
珠光花半里,59417,8
香蜜湖豪庭,122774,3
香榭茗园,141666,0
常兴花园,45675,0
观海台,106564,3
东海国际公寓,96824,10
财富港大厦,59862,28
翠景居,44540,18
海语西湾,57668,15
中国南方电网住宅楼,暂无,0
福昌苑,70918,2
桂苑小区,74876,0
红花园社区,暂无,0
百仕达红树西岸,127424,20
城市山林,85394,15
新洲苑,56822,1
花果山小区,64654,8
千叶苑,68014,3
招东小区,56390,4
中信红树湾北区,94155,26
椰风海岸,68081,3
新德家园,84878,17
海湾花园,58485,7
鹏基商务时空,暂无,0
信苑花园,64868,0
逸山明居,暂无,1
华景花园(梅林),49568,0
海湾花园,58485,7
鹏基商务时空,暂无,0
信苑花园,64868,0
新洲苑,56822,1
花果山小区,64654,8
千叶苑,68014,3
招东小区,56390,4
逸山明居,暂无,1
华景花园(梅林),49568,0
四海宜家,65825,1
华富北屋村,67221,1
通新岭,105105,0
新华苑,43748,10
泰安轩,73781,9
宏安花园,暂无,0
梅沁楼,50020,2
丰泽园,53992,2
金竹园北座,51532,2
缔馨园,91594,4
鹏兴花园六期,59350,6
绿洲丰和,81625,7
皇都广场,42581,12
世纪村二期,90245,9
滨海苑,59071,1
聚龙居,71692,2
奥士达大厦,53140,1
合旺阁,51677,4
东风汽车大院,73043,2
锦绣新居,49329,0
福永商会信息大厦,暂无,0
缔馨园,91594,4
名仕春天,暂无,0
上梅林派出所宿舍楼,暂无,0
金港豪庭,63331,13
滨河新村,59535,3
鹏兴花园六期,59350,6
绿洲丰和,81625,7
皇都广场,42581,12
奥士达大厦,53140,1
合旺阁,51677,4
合正逸园,62110,6
金丰花园,暂无,0
宝海花园,42941,1
碧海花园,53036,0
建业大厦,81583,5
登科花园,45791,3
怡和楼,47180,3
福滨新村,61291,0
富盛苑,45794,0
君悦阁,80320,5
安乐新苑,暂无,1
新洲花园综合楼,49464,0
金地香蜜山,88584,12
宏兴苑,34651,23
愉园新苑,33149,13
福侨大厦,52978,2
福星花园大厦,47150,6
京基御景华城,57779,100
鹏丽大厦,50370,8
雷圳大厦,42619,5
西湖新村,暂无,0
信义假日名城四期锦绣园,43777,2
中加名园,40536,11
阳光广场,30740,19
尚景花园,33405,5
灵芝新村,54955,9
龙珠军苑,暂无,0
庆宜华苑,41785,2
石鸿融景园,44813,1
水木华庭,82563,3
听涛雅苑二期,暂无,0
西海岸花园,51984,4
香缤广场,56359,17
时尚名居,72729,3
福田供电局宿舍,52689,0
都会100,82993,11
富荔花园,75322,0
金泓凯旋城一期,77272,14
公园大地一期,54972,8
鸿景春天,28577,8
华天花园,42525,1
金成名苑,47318,2
海滨市场,42316,0
中南花园,53538,9
东都花园一期一区,29185,6
翡翠星光园,42892,23
怡康家园,42633,39
中翠花园,41826,19
皇御苑一期,54350,29
紫薇花园,35542,27
保利上城,44484,75
龙富花园,29305,6
旭源瑞景轩,34511,4
东方威尼斯花园,28078,4
阳光天健城,66833,37
缤纷世纪,32531,73
龙城华府,38349,23
雅豪祥苑,32791,29
大芬艺术大厦,36832,12
信义假日名城六期溢芳园,45237,4
锦城星苑,28837,31
怡和山庄,暂无,0
西湖新村,暂无,0
信义假日名城四期锦绣园,43777,2
中加名园,40536,11
阳光广场,30740,19
尚景花园,33405,5
顺发大厦,暂无,0
和谐家园,52120,31
茵悦之生花园一期,40401,18
万科金域东郡,34925,3
卓弘高尔夫雅苑,41864,16
石鼓花园,暂无,0
穗丰苑,暂无,0
华瑞阁,暂无,0
星悦豪庭三期,暂无,0
新玥庭,50066,8
宝珠花园,54629,9
桃源村二期,50851,20
恒基花园,暂无,0
泰安花园,45133,1
龙威花园一期,31986,4
田园居,暂无,0
天河楼,56140,0
广场1号,暂无,0
万科第五园六期,48999,9
万科第五园八期,53520,11
十五峯花园,81580,11
汇福花园,33015,13
金龙豪庭,暂无,0
康桥紫郡,40713,13
银泉花园,37781,22
桂芳园一期,45100,16
裕达华庭,34641,3
泊郡雅苑,39764,4
暗径新村,30867,0
华侨新村1期,37049,0
蓝郡西堤,68686,2
东方御花园,42803,4
欧景花园二期,41022,8
欧景花园一期,36398,16
丰泽湖山庄,47533,16
丽岛花园,暂无,0
润城花园,57114,5
雅居园,暂无,0
龙福一村,37682,8
碧海花园,60549,0
碧海苑,暂无,0
翠堤雅居,58663,1
中信海滨花园,31481,5
山海阳光园,51446,9
山海园林,37763,4
南山花园,78491,4
福苑,40754,6
东埔海景花园二期,53057,5
中央悦城,35154,51
上善居,暂无,0
兴和苑,暂无,0
固戍花园,暂无,0
金港盛世华庭,42649,6
宝丽苑,30635,2
裕达华庭,34641,3
翠堤雅居,58663,1
中信海滨花园,31481,5
金福雅苑,暂无,0
半岛城邦花园三期,128073,9
万豪掬月半山,83158,5
信义金御半山一期,61073,4
太阳雨家园,52541,13
碧华庭居,59782,19
满京华喜悦里,42485,22
港莲北村,46673,2
光彩山居岁月,75274,6
博林天瑞,73015,12
金庸阁一期,43403,3
可乐园,51140,12
育德佳园,75618,9
金海燕花园,67658,12
深华公寓,39502,11
竹盛花园,68369,19
园中花园,68644,3
新华楼,暂无,0
金海燕花园,67658,12
深华公寓,39502,11
竹盛花园,68369,19
八十步海寓,47911,3
亚迪村,25500,3
明珠荔景,暂无,0
恒立听海花园,123678,5
东埔海景花园二期,53057,5
壹海城,78895,4
桃苑公寓,44260,19
育德佳园,75618,9
深圳海航城,38866,18
缤纷年华,95242,2
满京华喜悦里,42485,22
四季御园,57386,21
嘉汇新城,52720,9
佳华领汇广场,53296,21
领航城领丽花园,53644,9
运河蓝湾,39257,6
中海九号公馆二期,80244,4
新一代国际公寓,63923,20
佳兆业城市广场一期,54793,27
恒大国香山,45041,41
台湾花园,41305,4
兰亭国际名园,52082,8
前海康城华府,80594,3
星航华府,48959,19
金地龙城中央二期,47667,0
星航华府,48959,19
金地龙城中央二期,47667,0
半山半海,37374,1
鹏都大厦,45320,14
特皓苑,45381,2
松园北街76号,暂无,0
恒大国香山,45041,41
台湾花园,41305,4
兰亭国际名园,52082,8
四季御园,57386,21
嘉汇新城,52720,9
桑达大厦,89861,8
迎侨花园,53621,0
半岛苑,36120,21
耀荣园,59840,4
红树别院,106727,7
布吉中心广场,27502,20
锦隆花园,65712,1
新城市花园,37925,1
下水径,21747,0
又一村花园,38784,6
大运城邦曦城,24840,0
力高君御国际,37705,2
金苹果花园,暂无,0
梅沙1号,53688,0
新阁小区,42315,9
新安市场,37835,3
宏发美域,43923,1
澳新亚大厦,54154,6
南海玫瑰花园一期,86972,6
雅仕阁,45712,4
熙龙湾二期,105900,2
祥和花园二期,45810,2
熙园,132410,2
格澜郡二期,40335,24
华南西苑,暂无,0
鹏瑞仙桐雅轩罗湖区,62075,2
中航格澜郡阳光花园,42410,9
岭下花园,38904,3
赛龙豪轩,37520,3
龙泉别墅,53008,3
江南华府,40301,10
华景园,121357,3
招商海月华庭,105204,2
一城峰景,31998,9
佳兆业悦峰,60922,16
大冲都市花园,暂无,0
宏丰大厦罗湖,34501,3
创富时代名苑,28716,6
东源阁花园,35205,10
洪湖大厦,42489,7
荣超城市春天花园,81675,1
海珠城,58936,4
慢城一期,41932,12
建新村,31208,2
聚龙苑,34299,12
国晖大厦罗湖,36048,0
合兴大厦,46838,0
中信高尔夫别墅栖湖,63619,7
壹锦园,50368,3
尚城雅苑,暂无,0
幸福城三期,62459,8
曦湾华府,146003,0
世纪豪庭,35740,0
宝能悦澜山花园,46560,16
英郡年华三期时光里,暂无,0
合泰御景翠峰,59593,1
天福华府,暂无,1
新城花园龙岗,23930,2
海松大厦,暂无,0
金运世纪大厦,暂无,0
福满园,60664,4
百佳华大厦,35885,0
豪方悠然居,78712,4
花园城五期,95176,2
创展中心,46425,4
苍松大厦,32487,0
财富广场,77950,14
龙佳园,50495,6
三环宿舍,39951,3
莲花山庄四村,65202,1
晶美花园,50612,3
华联大厦,暂无,0
汇文楼,67605,1
威凤山庄,44175,0
峰度天下,52346,8
曦龙山庄,54540,11
安华35区商住楼,38031,1
常兴广场,58455,2
诺铂广场,暂无,3
